review_id,username,rating,review_text,date,sentiment
561a840c-a2ed-4727-af35-5fb722e23812,Muhammad Izdad Al Hasyir,2,Daftar gak bisa masuk masuk internal error. Tolong di permudah untuk daftar,2024-12-14 01:42:38,negative
9f097bbd-1f22-45c2-bbfb-f4b4e0b29350,Sasmito Leolantif,1,"Tidak bisa mendaftar, selalu muncul notifikasi internal error",2024-12-13 02:15:25,negative
fb2cdfd3-24b3-4cf5-b0ae-f5357caea6fb,David Koswara,5,Fasilitas Transportasi yang Mantap,2024-11-11 15:49:03,positive
222c7216-b891-404e-9590-d8449f3f8d27,Putra Aji Oktavianus,1,Nggak bisa daftar upload id,2024-11-11 02:42:32,negative
c2511080-7c0e-4753-97cf-e7a002940fbb,MEI PRASETYO FINALIANTO,5,Ok e,2024-11-03 07:30:54,positive
f0e5f7ba-84fa-473c-841f-f2b6c371ca55,Alexander Oswin,1,Apaan sih sekarang di stasiun Lebak bulus pintu masuknya cuma 1 sisi aja.. Kita yang dari arah parkiran resmi jadi jalan kejauhan.. Mana kalau lagi ramai jadi ngantri lagi masuknya.. Ini bintang 1 utk stasiun Lebak bulus bulan aplikasi.. Kalau aplikasi sdh baik,2024-10-28 00:02:03,negative
86605215-f65b-404c-a2d8-64341f86ffd8,Erhandi Deynez Safa,5,Sangat Menganggumkan,2024-10-21 12:31:25,positive
2ebe0159-126e-44c7-bec6-b749f448e43c,Kartina Tina (Andri),5,New comer 🙏🏿🖤🖤🤍💌🎤💯🥰😍😘🤲🏿🙏🤲,2024-10-20 09:35:18,positive
a1a20ebd-5df7-4152-af15-0ddfa131c861,arfan amirussalam,1,"Bukan rating untuk aplikasi, hanya saja mungkin kalau nulis disini lebih memungkinkan tersampaikan. Saran saya, sebaiknya bisa di training lagi untuk petugas ticketing pintu keluar lebak bulus hari ini 18 okt 2024 pukul +/- 09.10 WIB, agar lebih ramah terutama pada pelanggan baru.",2024-10-18 02:29:10,negative
bb499a70-09dc-47c1-b84d-fe6901bc7356,Bobby Kaban,5,Cool application,2024-10-17 08:14:37,positive
